Redshift r_mag g-r_col g-r_slope z_mag r-z_col r-z_slope
0.02 13.056313 0.78750992 -0.0267444 -10.0 -10.0 -10.0
0.0201 13.065160019999999 0.7877285784 -0.026757454 -10.0 -10.0 -10.0
0.0202 13.07400704 0.7879472368 -0.026770508000000002 -10.0 -10.0 -10.0
0.0203 13.082854059999999 0.7881658952 -0.026783562 -10.0 -10.0 -10.0
0.0204 13.09170108 0.7883845535999999 -0.026796616000000002 -10.0 -10.0 -10.0
0.0205 13.1005481 0.7886032119999999 -0.02680967 -10.0 -10.0 -10.0
0.0206 13.10939512 0.7888218704 -0.026822724000000003 -10.0 -10.0 -10.0
0.0207 13.11824214 0.7890405288 -0.026835778 -10.0 -10.0 -10.0
0.0208 13.127089159999999 0.7892591872 -0.026848832000000003 -10.0 -10.0 -10.0
0.0209 13.13593618 0.7894778456 -0.026861886 -10.0 -10.0 -10.0
0.021 13.1447832 0.789696504 -0.02687494 -10.0 -10.0 -10.0
0.0211 13.15363022 0.7899151623999999 -0.026887994000000002 -10.0 -10.0 -10.0
0.0212 13.16247724 0.7901338207999999 -0.026901048 -10.0 -10.0 -10.0
0.0213 13.171324259999999 0.7903524792 -0.026914102000000002 -10.0 -10.0 -10.0
0.0214 13.18017128 0.7905711376 -0.026927156 -10.0 -10.0 -10.0
0.0215 13.189018299999999 0.790789796 -0.026940210000000003 -10.0 -10.0 -10.0
0.0216 13.19786532 0.7910084544 -0.026953264 -10.0 -10.0 -10.0
0.0217 13.20671234 0.7912271128 -0.026966318 -10.0 -10.0 -10.0
0.0218 13.21555936 0.7914457711999999 -0.026979372 -10.0 -10.0 -10.0
0.0219 13.22440638 0.7916644295999999 -0.026992426 -10.0 -10.0 -10.0
0.022 13.233253399999999 0.791883088 -0.027005480000000002 -10.0 -10.0 -10.0
0.0221 13.24210042 0.7921017464 -0.027018534 -10.0 -10.0 -10.0
0.0222 13.25094744 0.7923204048 -0.027031588000000002 -10.0 -10.0 -10.0
0.0223 13.25979446 0.7925390632 -0.027044642 -10.0 -10.0 -10.0
0.0224 13.26864148 0.7927577216 -0.027057696000000003 -10.0 -10.0 -10.0
0.0225 13.2774885 0.79297638 -0.02707075 -10.0 -10.0 -10.0
0.0226 13.28633552 0.7931950383999999 -0.027083804 -10.0 -10.0 -10.0
0.0227 13.295182539999999 0.7934136968 -0.027096858 -10.0 -10.0 -10.0
