Redshift   r_mag   g-r_col   g-r_slope   z_mag     r-z_col   r-z_slope
0.110000 16.846500 0.967000 -0.026000 -10.000000 -10.000000 -10.000000
0.120000 17.057800 0.991000 -0.026000 -10.000000 -10.000000 -10.000000
0.130000 17.254100 1.012000 -0.026000 -10.000000 -10.000000 -10.000000
0.140000 17.438100 1.039000 -0.027000 -10.000000 -10.000000 -10.000000
0.150000 17.611600 1.071000 -0.028000 -10.000000 -10.000000 -10.000000
0.160000 17.776100 1.102000 -0.029000 -10.000000 -10.000000 -10.000000
0.170000 17.932800 1.132000 -0.030000 -10.000000 -10.000000 -10.000000
0.180000 18.082600 1.162000 -0.030000 -10.000000 -10.000000 -10.000000
0.190000 18.226400 1.195000 -0.031000 -10.000000 -10.000000 -10.000000
0.200000 18.364800 1.229000 -0.032000 -10.000000 -10.000000 -10.000000
0.210000 18.498200 1.262000 -0.033000 -10.000000 -10.000000 -10.000000
0.220000 18.627200 1.300000 -0.035000 -10.000000 -10.000000 -10.000000
0.230000 18.752200 1.334000 -0.036000 -10.000000 -10.000000 -10.000000
0.240000 18.873400 1.365000 -0.037000 -10.000000 -10.000000 -10.000000
0.250000 18.991300 1.393000 -0.038000 -10.000000 -10.000000 -10.000000
0.260000 19.105900 1.424000 -0.039000 -10.000000 -10.000000 -10.000000
0.270000 19.217700 1.450000 -0.039000 -10.000000 -10.000000 -10.000000
0.280000 19.326700 1.466000 -0.039000 -10.000000 -10.000000 -10.000000
0.290000 19.433100 1.489000 -0.040000 -10.000000 -10.000000 -10.000000
0.300000 19.537200 1.513000 -0.040000 -10.000000 -10.000000 -10.000000
0.310000 19.639000 1.538000 -0.040000 -10.000000 -10.000000 -10.000000
0.320000 19.738700 1.563000 -0.041000 -10.000000 -10.000000 -10.000000
0.330000 19.836400 1.592000 -0.041000 -10.000000 -10.000000 -10.000000
0.340000 19.932200 1.621000 -0.042000 -10.000000 -10.000000 -10.000000
0.350000 20.026200 1.651000 -0.042000 18.856200 0.848000 -0.013000
0.360000 20.118400 1.683000 -0.042000 18.928000 0.857000 -0.013000
0.370000 20.209100 1.719000 -0.043000 18.998000 0.865000 -0.013000
0.380000 20.298200 1.739000 -0.043000 19.066200 0.873000 -0.013000
0.390000 20.385800 1.747000 -0.042000 19.132700 0.882000 -0.013000
0.400000 20.472000 1.754000 -0.041000 19.197600 0.895000 -0.014000
0.410000 20.556900 1.765000 -0.041000 19.260900 0.908000 -0.014000
0.420000 20.640400 1.772000 -0.039000 19.322600 0.922000 -0.014000
0.430000 20.722700 1.769000 -0.038000 19.382900 0.939000 -0.014000
0.440000 20.803800 1.768000 -0.036000 19.441800 0.958000 -0.015000
0.450000 20.883700 1.774000 -0.035000 19.499300 0.978000 -0.015000
0.460000 20.962600 1.777000 -0.034000 19.555500 1.000000 -0.016000
0.470000 21.040300 1.774000 -0.033000 19.610300 1.022000 -0.017000
0.480000 21.117000 1.777000 -0.032000 19.663900 1.045000 -0.017000
0.490000 21.192800 1.780000 -0.032000 19.716300 1.071000 -0.018000
0.500000 21.293100 1.785000 -0.031000 19.793100 1.094000 -0.019000
0.510000 21.377000 1.785000 -0.031000 19.853200 1.118000 -0.019000
0.520000 21.455300 1.785000 -0.030000 19.907500 1.143000 -0.020000
0.530000 21.529300 1.777000 -0.029000 19.957300 1.167000 -0.020000
0.540000 21.599900 1.774000 -0.028000 20.003500 1.188000 -0.020000
0.550000 21.668000 1.779000 -0.028000 20.046900 1.212000 -0.021000
0.560000 21.734400 1.783000 -0.028000 20.088400 1.236000 -0.021000
0.570000 21.799500 1.790000 -0.028000 20.128400 1.261000 -0.022000
0.580000 21.863900 1.791000 -0.028000 20.167400 1.289000 -0.023000
0.590000 21.928000 1.787000 -0.027000 20.206000 1.318000 -0.024000
0.600000 21.992200 1.785000 -0.027000 20.244400 1.344000 -0.024000
0.610000 22.056700 1.781000 -0.027000 20.282900 1.369000 -0.025000
0.620000 22.121800 1.777000 -0.026000 20.321800 1.391000 -0.025000
0.630000 22.187500 1.773000 -0.026000 20.361000 1.411000 -0.025000
0.640000 22.254000 1.779000 -0.027000 20.400900 1.428000 -0.026000
0.650000 22.321500 1.791000 -0.027000 20.441500 1.445000 -0.026000
0.660000 22.389800 1.808000 -0.028000 20.482700 1.462000 -0.026000
0.670000 22.459100 1.832000 -0.030000 20.524700 1.476000 -0.026000
0.680000 22.529400 1.854000 -0.032000 20.567400 1.494000 -0.026000
0.690000 22.600500 1.869000 -0.034000 20.610800 1.515000 -0.026000
0.700000 -10.000000 -10.000000 -10.000000 20.654800 1.535000 -0.026000
0.710000 -10.000000 -10.000000 -10.000000 20.699400 1.555000 -0.026000
0.720000 -10.000000 -10.000000 -10.000000 20.744400 1.575000 -0.026000
0.730000 -10.000000 -10.000000 -10.000000 20.789900 1.594000 -0.026000
